additional features,brand,cellular,color,condition,contract,design,digital camera,display size,display technology,gps,id,manufacturer part number,model,network generation,network technology,normalized_product_name,operating system,product type,speakerphone,storage,url,warc,wattage,weight
"adapter, cable, bluetooth/hands-free headset",samsung,gsm 850/900/1800/1900 umts 850/900/1900/2100 lte 1/2/3/4/5/7/8/12/17/18/19/20/26,black,unlocked,without contract,smartphone,yes,5.1 in,quad hd super amoled,yes,noded8b052b6ef72c8c58cc51ec0aa9458cf,g925f-32gb-gold,galaxy s6 edge,4g,,samsung galaxy s6 edge 32gb,androidupc 785307467465,phone,yes,32gb,http://www.ebay.com/itm/excellent-samsung-galaxy-s6-edge-sm-g925f-latest-32gb-factory-unlocked-white-/331699768135?hash=item4d3ad8cb47:g:v~qaaosw7hrwoiuq,ebay.com0.warc.nq.gz,2600mah,
"3g data capable, bluetooth enabled, gps, internet browser, music player, speakerphone, touchscreen, wi-fi capable",apple,gsm/edge 850/900/1800/1900 (quadband) wcdma (umts)/hsdpa/hsupa 850/900/1900/2100 cdma ev-do rev. a 800/1900,white,unlocked,without contract,bar,,,,,node17b991d2c02b5f8df41bd9734fa733ef,does not apply,iphone 4s,"2g, 3g",gsm / edge / umts / hsdpa / hsupa,iphone 4s 8gb,,smartphone,,8gb,http://www.ebay.com/itm/apple-iphone-4s-8gb-factory-unlocked-black-and-white-smartphone-grade-a-/321893479586?var=&hash=item4af258b4a2:m:mdkwps7xhbvxbtg5wvnn1ug,ebay.com0.warc.nq.gz,,
,apple,gsm,space gray,network unlocked,factory unlocked,touch screen,yes,4.7 in,retina hd,yes,nodea6588589d25e38dafdd85262385d752b,mg4f2ll/a,iphone 6,4g,gsm/edge 850/900/1800/1900 cdma ev-do rev. a and rev. b 800/1700/1900/2100 umts/hspa+/dc-hsdpa 850/900/1700/1900/2100 td-scdma 1900/2000 fdd-lte 1/2/3/4/5/7/8/13/17/19/20/25/26/28/29 td-lte 38/39/40/41,iphone 6 64gb,ios 8,smartphone,yes,64gb,http://www.ebay.com/itm/apple-iphone-6-64gb-gsm-unlocked-silver-white-brand-new-see-description-/111889523227?hash=item1a0d22a21b:g:jeeaaoswvulwq5ux,shop.com0.warc.nq.gz,1810mah,4.55 oz
"adaptor, cable",htc,gsm 850/900/1800/1900 umts 850/1900/2100 cdma 850/1900/2100 lte 2/3/4/5/7/12/17/29,gunmetal gray,at&t,without contract,bar,yes,5 in,super lcd 3,yes,node16f0b9847af4da78d9ab145f2da4736b,6735a,one m9,"2g, 3g, 4g",gsm 800/900/1800/1900 (quadband) cdma 800/1900 umts 850/1900/2100 lte 1900,htc one m9,android,smartphone,yes,32gb,http://www.ebay.com/itm/htc-one-m9-32gb-silver-rose-gold-unlocked-smartphone-warranty-average-/381396031869?hash=item58ccf9997d:g:d5uaaoswutxv8u26,ebay.com0.warc.nq.gz,2840mah,5.54 oz
"3g data capable, 4g data capable, bluetooth enabled, internet browser, music player, speakerphone, touchscreen",apple,gsm/edge 850/900/1800/1900 (quadband) wcdma (umts)/hsdpa/hsupa 850/900/1900/2100 cdma ev-do rev. a 800/1900,white,factory unlocked,without contract,bar,yes,3.5 in,tft lcd,yes,node6b83d07a947b39d644e44c92b8fdb60,mc920ll/a,iphone 4s,"2g, 3g",gsm/edge 850/900/1800/1900 (quadband) wcdma (umts)/hsdpa/hsupa 850/900/1900/2100 cdma ev-do rev. a 800/1900,iphone 4s 16gb,ios - apple,smartphone,yes,16gb,http://www.ebay.com/itm/apple-iphone-4s-16gb-gsm-factory-unlocked-smartphone-black-or-white-/141749824831?var=&hash=item66a58012ce&vti=color%09black,ebay.com0.warc.nq.gz,1432mah,4.9 oz
"3g data capable, 4g data capable, bluetooth enabled, global ready, internet browser, speakerphone, touchscreen",htc,,gunmetal gray,network unlocked,,bar,yes,,super lcd 3,yes,node3dd575a0dbd8f45ff0cda89e2ce181ef,,one m9,"2g, 3g, 4g",,htc one m9,,smartphone,yes,,http://www.ebay.com/itm/unlocked-htc-one-m9-32gb-gray-at-t-t-mobile-cricket-straight-talk-h2o-lte-great/321997101427?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d20150604093004%26meid%3d1fab89562205430c812a5a03ec7d2b47%26pid%3d100005%26rk%3d1%26rkt%3d6%26sd%3d262272888203&rt=nc,ebay.com0.warc.nq.gz,2840mah,5.54 oz
see item features below,huawei,,,"new a brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ... read more",,,,,,,node37ab3502d325fbb8985f066f114d4,,nexus 6p,4g,,nexus 6p 128gb,,phone,,128gb,http://www.bestbuy.com/site/huawei-nexus-6p-4g-with-128gb-cell-phone-unlocked-aluminum/4796801.p?id=bb4796801&skuid=4796801,ebay.com0.warc.nq.gz,,
"3g data capable, 4g data capable, bluetooth enabled, fingerprint sensor, global ready, gps, internet browser, music player, near field communication, speakerphone, waterproof, wi-fi capable",sony,"b1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 38, 39, 40, 41",gold,factory unlocked,without contract,bar,,5.1 in,,,nodec77196bfe7c5b5c9c95b4a3474e41,e6853,xperia z5 premium,,,sony xperia z5 premium,android,,,32gb,http://www.ebay.com/itm/open-box-sony-xperia-z5-premium-e6853-gold-factory-unlocked-23mp-5-5-/222002928778?hash=item33b067dc8a:g:lg4aaosw5dnworzw,ebay.com0.warc.nq.gz,,
,,,,,,,,,,,,,,,,iphone 5 16gb,,,,,,,,
,,,,,,,,,,,,,,,,iphone 6 plus,,,,,,,,
"3g data capable, 4g data capable, bluetooth enabled, fingerprint sensor, global ready, gps, internet browser, music player, qwerty keyboard, speakerphone, touchscreen, voice-activated dialing, wi-fi capable",apple,,,factory unlocked,,bar,,,,,nodee1b80c13cb58a5fa5365349fe7dad,,,,,iphone 6 plus 16gb;iphone 6 plus 64gb;iphone 6 plus 128gb,ios - apple,,,16gb 64gb 128gb,http://www.ebay.com/itm/apple-iphone-6-plus-factory-unlocked-cdma-gsm-16gb-64gb-128gb-gold-gray-silver/121668068968?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d33876%26meid%3d6225821c710f46f4890f4e6037583e4a%26pid%3d100005%26rk%3d3%26rkt%3d6%26sd%3d222014711344&rt=nc,ebay.com1.warc.nq.gz,,
,,,,,,,,,,,,,,,,samsung galaxy note 5,,,,,,,,
3g data capable,apple,gsm/edge 850/900/1800/1900 (quadband) wcdma (umts)/hsdpa/hsupa 850/900/1900/2100 cdma ev-do rev. a 800/1900,black,factory unlocked,without contract,bar,yes,3.5 in,tft lcd,yes,node1b997058bcc835140cd5c8758cc881d,md241ll/a,iphone 4s,"2g, 3g",gsm/edge 850/900/1800/1900 (quadband) wcdma (umts)/hsdpa/hsupa 850/900/1900/2100 cdma ev-do rev. a 800/1900,iphone 4s 32gb,,smartphone,yes,32gb,http://www.ebay.com/itm/new-apple-iphone-4s-md243ll-factory-unlocked-32gb-free-shipping-no-box-/221988043377?hash=item33af84ba71:g:gxwaaosw8-twztkz,ebay.com0.warc.nq.gz,1432 mah,4.9 oz
"adaptor, cable",htc,,,at&t,,,,,,,node9bb765c3a0e1ade12ccb883eb4893d,,,,,htc one m9,,,,32gb,http://www.ebay.com/itm/in-plastic-htc-one-m9-32gb-gunmetal-gray-at-t-straight-talk-clean-esn/231766556591?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d34864%26meid%3dda33dc9125404ce3b60a1246c02f578c%26pid%3d100005%26rk%3d2%26rkt%3d6%26sd%3d252265991341,ebay.com0.warc.nq.gz,,
3g data capable,lg,make sure your carrier support the 4g/lte bands,black,factory unlocked,without contract,bar,yes,5.5 in,ips quantum,yes,nodec5576615938bd6b6118ae87edd30e7,lg g4 h815 leather brown 32gb,g4,4g,lte,lg g4,android,smartphone,yes,32gb,http://www.ebay.com/itm/open-box-lg-g4-h815-leather-brown-32gb-factory-unlocked-5-5-qhd-3gb-ram/191757245046?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d34862%26meid%3d7cd4664ac9674a6ba62149aaa594c5f4%26pid%3d100005%26rk%3d5%26rkt%3d6%26sd%3d371356719862,ebay.com0.warc.nq.gz,3000 mah,155
"3g data capable, 4g data capable, air gesture, bluetooth enabled, dual-lens camera, dual sim, fingerprint sensor, global ready, gps, high capacity battery (5000 mah or more), internet browser, iris scanning, music player, near field communication, push to talk, qwerty keyboard, speakerphone, touchscreen, tty compatible, voice-activated dialing, waterproof, wi-fi capable, wireless charging",apple,gsm/edge 850/900/1800/1900 umts/hspa+/dc-hsdpa 850/900/1700/1900/2100 lte 1/2/3/4/5/7/8/13/17/18/19/20/25/26/28/29,silver,at&t,without contract,bar,yes,4.7 in,retina hd,yes,node4a6ec0a879d9cb5866c44453501c45,mg4p2ll/a,iphone 6,"2g, 3g, 4g",gsm / edge / umts / hspa+ / dc-hsdpa / lte,iphone 6 16gb,ios - apple,smartphone,yes,16gb,http://www.ebay.com/itm/apple-iphone-6-16gb-space-gray-at-t-imei-blacklisted-fully-working-/272121008468?hash=item3f5bad1154:g:znkaaoswvulwro9q,ebay.com0.warc.nq.gz,1810mah,4.55 oz
"3g data capable, 4g data capable, bluetooth enabled, global ready, gps, internet browser, music player, qwerty keyboard, speakerphone, touchscreen, wi-fi capablenetwork work with gsm only wont work with cdma or other",sony,work with gsm only wont work with cdma or otheroperating system android,gold,factory unlocked,without contract,bar,,5.2 in,,,node126bb5fb80a9fc2c75327297daa97c4,sony xperia z5 e6653 black,xperia z5,,,sony xperia z5,android,,,32gb,http://www.ebay.com/p/sony-xperia-z5-e6603-silver-unlocked-cellular-phone/113285397?_trksid=p2047675.c100005.m1851&_trkparms=ao%3d1%26asc%3d33876%26meid%3d4eff2bff34604bb1bdde164af47a5435%26pid%3d100005%26,ebay.com0.warc.nq.gz,,
"camera auto focus, touch focus, hdr, led flesh, 3g data capable, bluetooth enabled, gps, internet browser, qwerty keyboard, speakerphone, touchscreen, wi-fi capable",apple,"cdma 800 / 1900, cdma2000 1xev-do,",black,unlocked,without contract,bar,,3.5 in,,,node3310f2c19437ec3fbe761c9dff8ecf,a1349,iphone 4,,,iphone 4 16gb,ios - apple,,,16gb,http://www.ebay.com/itm/new-apple-iphone-4-16gb-black-factory-unlocked-gsm-smartphone-/301799238741?hash=item4644a2ec55:g:gkgaaosw9r1v9hon,ebay.com0.warc.nq.gz,,
1 x htc one m9 cell phone 1 x in built battery 1 x pc connecting cable 1 x wired stereo head set 1 x mains / wall / travel charger (3 pin uk) 1 x documentation 1 x interior retail packing 1 x retail box with imei number,htc,850 (b5) / 900 (b8) / 1900 (b2) / 2100 (b1) and/or,gold on gold,brand new in box (bnib),without contract,,,,,,node3213db452e8c0bf4cb51d74c99012f3,,,,lte 700(b28) / 800(b20) / 850(b5) / 900(b8) / 1800(b3) / 2100(b1) / 2600(b7),motorola moto g,,,,32gb,http://www.ebay.com/itm/htc-one-m9-plus-4g-lte-32gb-gold-on-gold-factory-unlocked-5-2-3gb-ram/181968811139?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d20150604093004%26meid%3d3f53eb8a530f4f73a73b688870ab4188%26pid%3d100005%26rk%3d4%26rkt%3d6%26sd%3d262109412732&rt=nc,ebay.com0.warc.nq.gz,,
,,,,,,,,,,,,,,,,iphone 4s 8gb;iphone 4s 16gb;iphone 4s 32gb,,,,,,,,
"bluetooth enabled, internet browser, music player, touchscreen, wi-fi capable",apple,make sure your carrier support the 4g/lte bands,gold,factory unlocked,without contract,,yes,,retina hd,yes,node1d52b455e1dbe5d2fd9fc5d1d17174,"mg9t2cl/a, ebay_appleiphone6plus128gbgoldunlocked",iphone 6 plus,"2g, 3g, 4g",gsm/edge 850/900/1800/1900 umts/hspa+/dc-hsdpa 850/900/1700/1900/2100 lte 1/2/3/4/5/7/8/13/17/18/19/20/25/26/28/29,iphone 6 plus 128gb,android,smartphone,yes,32gb,http://www.ebay.com/itm/apple-iphone-6-plus-latest-model-128gb-gold-unlocked-smartphone-/222015052252?hash=item33b120d9dc:g:ilmaaosw5dnwlhe9,ebay.com0.warc.nq.gz,2915mah,6.07 oz
,apple,,space gray,"used an item that has been used previously. the item may have some signs of cosmetic wear, but is fully operational and functions as intended. this item may be a floor model or store return that has been used. see the seller’s listing for full details and description of any imperfections. see all condition definitions- opens in a new window or tab ... read moreabout the condition",tesco mobile,bar,yes,4 in,retina,yes,nodeeef8b7661dbb5cfde430676c2bb3ec53,,5s,"2g, 3g, 4g",gsm/edge 850/900/1800/1900; cdma ev-do rev. a and rev. b 800/1700/1900/2100; umts/hspa+/dc-hsdpa 850/900/1700/1900/2100; lte 1/2/3/4/5/8/13/17/19/20/25,iphone 5s 32gb,,smartphone,yes,32gb,http://www.ebay.com/itm/amazing-condition-apple-iphone-5s-32gb-space-gray-grey-verizon-bundle-/172062575601?hash=item280fba8bf1:g:qg4aaosw4utwsnoo,ebay.com1.warc.nq.gz,1560 mah,3.95 oz
"browser html5 16 megapixel camera (2988 x 5312 pixels) + front-facing 5 megapixel camera w/ dual-video fingerprint sensor (paypal certified) samsung pay (visa, mastercard certified) corning gorilla glass 4 touchwiz ui curved edge screen",samsung,,black,factory unlocked,without contract,bar phones,,5.1 in,,,node40257d89f7477eb01355d8578d65517e,g925f,galaxy s6 edge,"2g gsm 850 / 900 / 1800 / 1900 3g hsdpa 850 / 900 / 1900 / 2100 4g lte 700 / 800 / 850 / 900 / 1700 (aws) / 1800 / 1900 / 2100 / 2600 (bands 1, 2, 3, 4, 5, 7, 8, 17, 20)","gprs, edge, hsdpa, lte, wi-fi",samsung galaxy s6 edge 64gb,android v5.0.2 (lollipop),,,64gb,http://www.ebay.com/itm/new-samsung-galaxy-s6-edge-g925f-64gb-gsm-factory-unlocked-16mp-black-/181934917484?hash=item2a5c2a876c:g:g4qaaoswwbdwggik,newegg.com0.warc.nq.gz,2600mah,4.66 oz
"adapter, cable, car charger, case",apple,,gold,network unlocked,,smartphone,y,4.7 in,retina hd,yes,node1e726c4942586a3d79d9765144ed7bb2,,iphone 6,4g,quadband,iphone 6 128gb,ios8,smartphone,yes,128gb,http://www.ebay.com/itm/apple-iphone-6-128gb-verizon-page-plus-smartphone-read-description-/262256718684?hash=item3d0fb7f35c:g:k94aaoswuv9wpg1s,tesco.com0.warc.nq.gz,1810,4.55 oz
"adaptor, cable",htc,gsm 850/900/1800/1900 umts 850/1900/2100 cdma 850/1900/2100 lte 2/3/4/5/7/12/17/29,gunmetal gray,at&t,without contract,bar,yes,5 in,super lcd 3,yes,node8bc5bcafab57e86676e8731e88ac8a0,6735a,,"2g, 3g, 4g",gsm/umts/lte,htc one m9,android,smartphone,yes,32gb,http://www.ebay.com/itm/fair-condition-gunmetal-gray-htc-one-m9-32gb-at-t-clean-imei-more-/191792554173?hash=item2ca7ba20bd:g:9nyaaoswqrtwp6vo,ebay.com0.warc.nq.gz,2840mah,5.54 oz
,apple,,,unlocked,,,,,ips,,node18ba821b13a17713e44810701cab,,iphone 4s,3g,wcdma,iphone 4s 16gb;iphone 4s 32gb;iphone 4s 64gb,8.0,phone,,16gb/32gb/64gb,http://www.aliexpress.com/item/authorised-retailer-original-apple-iphone-4s-16gb-32gb-ios-7-3g-wifi-gps-8mp-1080p-3/1718855186.html?ws_ab_test=searchweb201556_1%2csearchweb201644_4_505_506_503_504_502_10001_10002_10016_10017_10010_10005_10011_10006_10003_10004_10009_10008%2csearchweb201560_3%2csearchweb1451318400_-1%2csearchweb1451318411_6452&btsid=9ace5619-80c1-465b-83a0-af59a74fe293&_escaped_fragment_=,aliexpress.com0.warc.nq.gz,,
"1/3.2 in sensor size, 1.4 ?m pixel size, simultaneous hd video and image recording, touch focus, geo-tagging, face detection, hdr panorama, hdr photo",,lte - all versions,"white, blue, green, yellow, pink",,,,,,"led-backlit ips lcd, capacitive touchscreen, 16m colors","yes, with a-gps support and glonass",nodee7695f362ecb33962e6a3cc57df1fcdc,,,,,iphone 5c 16gb;iphone 5c 32gb,,,yes,,http://www.aliexpress.com/item/apple-iphone-5c-16gb-dual-core-original-unlocked-i5c-a5c-ios-8-32gb-4-0-ips/32256424397.html?ws_ab_test=searchweb201556_6%2csearchweb201644_1_505_506_503_504_502_10001_10002_10016_10017_10010_10005_10011_10006_10003_10004_10009_10008%2csearchweb201560_8%2csearchweb1451318400_-1%2csearchweb1451318411_6451&btsid=1aeda8fe-f344-40e3-9155-077bc12ad766&_escaped_fragment_=,aliexpress.com0.warc.nq.gz,,132 g (4.66 oz)
,,,,,,,,,,,,,,,,lg g4 vs986,,,,,,,,
,apple,,space gray,network unlocked,factory unlocked,touch screen,yes,4.7 in,retina hd,yes,nodea6588589d25e38dafdd85262385d752b,mg4f2ll/a,galaxy s6 edge,"2g, 3g, 4g",gsm/edge 850/900/1800/1900 cdma ev-do rev. a and rev. b 800/1700/1900/2100 umts/hspa+/dc-hsdpa 850/900/1700/1900/2100 td-scdma 1900/2000 fdd-lte 1/2/3/4/5/7/8/13/17/19/20/25/26/28/29 td-lte 38/39/40/41,samsung galaxy s6 edge 32gb;samsung galaxy s6 edge 64gb;samsung galaxy s6 edge 128gb,ios - apple,smartphone,yes,64gb,http://www.samsclub.com/sams/project-6-edge-32gb-spr/prod17510496.ip,ebay.com1.warc.nq.gz,1810mah,4.55 oz
"corning gorilla glass 4 back panel fingerprint sensor (paypal certified) samsung pay (visa, mastercard certified) corning gorilla glass 4 touchwiz ui curved edge screen browser html5 ant+ support s-voice natural language commands and dictation active noise cancellation with dedicated mic",samsung,"4g (lte ) bands 1, 2, 3, 4, 5, 7, 8, 12, 17, 18,",black,factory unlocked,without contract,bar phones,yes,5.7 in,super amoled,yes,node4ab64b5c132b79784a7eeaccf7411a5,sm-g928c black,galaxy s6 edge+,4g,gsm unlocked,samsung galaxy s6 edge+,android,smartphone,yes,32gb,http://www.ebay.com/itm/open-box-samsung-galaxy-s6-edge-plus-black-sm-g928c-factory-unlocked-5-7-qhd-/201490835843?hash=item2ee9ca2983:g:cayaaoswshzwfdgd,ebay.com0.warc.nq.gz,3000mah,5.40 oz
"case, extra battery, screen protector(s)",samsung,gsm 850/900/1800/1900 umts 850/1900/2100 fdd lte 700/800/850/900/1700/1800/1900/2100,black sapphire,network unlocked,without contract,bar,yes,5.1 in,quad hd super amoled,yes,node129ecaaf6c73f6771f7675faaac39fd3,sm-g925azwfatt,galaxy s6 edge,"2g, 3g, 4g",,samsung galaxy s6 edge 128gb,android,smartphone,yes,128gb,http://www.ebay.com/itm/unlocked-samsung-galaxy-s6-edge-128gb-sm-g925a-white-pearl-at-t-bundle-/272048059444?hash=item3f5753f434:g:bswaaoswl9bwjvyn,ebay.com10.warc.nq.gz,2600 mah,4.66 oz
,apple,,,unlocked,,,,'',ips,,node512f60e252495623f6c21d25eb3e3977,,,3g,,iphone 5c 32gb,,smartphone,,32gb,http://www.aliexpress.com/item/original-apple-iphone-5c-phone-32gb-dual-core-ios-7-4-0-ips-screen-1gb-ram/2031745577.html?ws_ab_test=searchweb201556_6%2csearchweb201644_1_505_506_503_504_502_10001_10002_10016_10017_10010_10005_10011_10006_10003_10004_10009_10008%2csearchweb201560_8%2csearchweb1451318400_-1%2csearchweb1451318411_6451&btsid=1aeda8fe-f344-40e3-9155-077bc12ad766&_escaped_fragment_=,aliexpress.com0.warc.nq.gz,,
yes,apple,cdma evdo rev. a 800/1900,white,verizon,without contract,bar,yes,3.5 in,tft lcd,yes,node90c755270889ce744ea484373cef33,md440ll/a,iphone 4,"2g, 3g",cdma / evdo rev. a,iphone 4 8gb,,smartphone,yes,8gb,http://www.ebay.com/itm/apple-iphone-4-8gb-white-verizon-smartphone-power-button-not-working-/131711094205?hash=item1eaa97cdbd:g:kgmaaoswp5jwz24j,ebay.com0.warc.nq.gz,1420 mah,4.8 oz
,apple,,silver,excellent,factory unlocked,bar,yes,4 in,retina,yes,nodec5e3616d1f2cb391b66bb25703e2aa9,me306ll/a,iphone 5s,"2g, 3g, 4g",gsm/edge 850/900/1800/1900 umts/hspa+/dc-hsdpa 850/900/1700/1900/2100 lte 1/2/3/4/5/8/13/17/19/20/25,iphone 5s 16gb,ios - apple,smartphone,yes,16gb,http://www.ebay.com/itm/apple-iphone-5s-16gb-silver-at-t-smartphone-/151973778449,ebay.com1.warc.nq.gz,1560 mah,3.95 oz
infrared remote control s finder private mode ultra power saving mode download booster quick connect  adaptive fast charging soundalive,samsung,edge/gsm 850/900/1800/1900 cdma/1xevdo rev. a 800/1900 lte 700/850/1800,black sapphire,sprint,without contract,bar,yes,5.1 in,quad hd super amoled,yes,nodea3ea9facfd18afc6a86d3f3d2d9835d8,sm-g920pzkaspr,galaxy s6,"2g, 3g, 4g","hspa 42.2/5.76 mbps, lte cat6 300/50 mbps",samsung galaxy s6 32gb,android,smartphone,yes,32gb,http://www.newegg.com/product/product.aspx?item=n82e16875169135&cm_re=samsung_galaxy_s6-_-75-169-135-_-product,ebay.com0.warc.nq.gz,2550 mah,4.87 oz
